param_id,simulator,t,coverage,m_per_region,regions_per_t,num_iterations,stop_criterion,atlas_coverage,random_restarts,true_alpha,theta_high,theta_low,lambda_high,lambda_low
1,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.51,0.49,1,0
2,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.52,0.48,1,0
3,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.53,0.47,1,0
4,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.54,0.46,1,0
5,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.55,0.45,1,0
6,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.56,0.44,1,0
7,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.57,0.43,1,0
8,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.58,0.42,1,0
9,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.59,0.41,1,0
10,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.6,0.4,1,0
11,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.61,0.39,1,0
12,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.62,0.38,1,0
13,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.63,0.37,1,0
14,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.64,0.36,1,0
15,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.65,0.35,1,0
16,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.66,0.34,1,0
17,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.67,0.33,1,0
18,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.68,0.32,1,0
19,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.69,0.31,1,0
20,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.7,0.3,1,0
21,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.71,0.29,1,0
22,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.72,0.28,1,0
23,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.73,0.27,1,0
24,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.74,0.26,1,0
25,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.75,0.25,1,0
26,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.76,0.24,1,0
27,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.77,0.23,1,0
28,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.78,0.22,1,0
29,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.79,0.21,1,0
30,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.8,0.2,1,0
31,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.81,0.19,1,0
32,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.82,0.18,1,0
33,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.83,0.17,1,0
34,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.84,0.16,1,0
35,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.85,0.15,1,0
36,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.86,0.14,1,0
37,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.87,0.13,1,0
38,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.88,0.12,1,0
39,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.89,0.11,1,0
40,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.9,0.1,1,0
41,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.91,0.09,1,0
42,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.92,0.08,1,0
43,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.93,0.07,1,0
44,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.94,0.06,1,0
45,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.95,0.05,1,0
46,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.96,0.04,1,0
47,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.97,0.03,1,0
48,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.98,0.02,1,0
49,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.99,0.01,1,0
50,epistate,25,10,1,240,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",1,0,1,0
51,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.51,0.49,1,0
52,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.52,0.48,1,0
53,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.53,0.47,1,0
54,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.54,0.46,1,0
55,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.55,0.45,1,0
56,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.56,0.44,1,0
57,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.57,0.43,1,0
58,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.58,0.42,1,0
59,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.59,0.41,1,0
60,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.6,0.4,1,0
61,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.61,0.39,1,0
62,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.62,0.38,1,0
63,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.63,0.37,1,0
64,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.64,0.36,1,0
65,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.65,0.35,1,0
66,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.66,0.34,1,0
67,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.67,0.33,1,0
68,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.68,0.32,1,0
69,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.69,0.31,1,0
70,epistate,25,10,6,40,1000,0.001,1000,1,"[0.00307692,0.00615385,0.00923077,0.01230769,0.01538462,0.01846154,0.02153846,0.02461538,0.02769231,0.03076923,0.03384615,0.03692308,0.04      ,0.04307692,0.04615385,0.04923077,0.05230769,0.05538462,0.05846154,0.06153846,0.06461538,0.06769231,0.07076923,0.07384615,0.07692308]",0.7,0.3,1,0
